,Unnamed: 0,Plane,VG,VD,Location,Criteria,Height,Width,inpPotPath,inpChargePath,cmpPotPath,cmpChargePath,tarPotPath,tarChargePath,Pot Mean,Pot STD,Charge Mean,Charge STD
16858,16858,XY,0.70625,0.6125,6,abs_pot,3,3,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.70625_0.6125_6_pot_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.70625_0.6125_6_charge_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.70625_0.6125_6_pot_3.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.70625_0.6125_6_charge_3.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.70625_0.6125_6_pot_6.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.70625_0.6125_6_charge_6.txt,-0.3050446365211365,0.1655993256027778,16.666882750468897,1.9918621585799972
16860,16860,XY,0.8,0.425,5,abs_pot,3,3,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.8_0.425_5_pot_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.8_0.425_5_charge_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.8_0.425_5_pot_4.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.8_0.425_5_charge_4.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.8_0.425_5_pot_8.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.8_0.425_5_charge_8.txt,-0.3375332266112266,0.110847946926298,16.20604368949773,1.736687917352489
16876,16876,XY,0.2375,0.05,3,abs_pot,3,3,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.2375_0.05_3_pot_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.2375_0.05_3_charge_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.2375_0.05_3_pot_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.2375_0.05_3_charge_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.2375_0.05_3_pot_5.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.2375_0.05_3_charge_5.txt,0.1095713456046431,0.1471761152421719,11.578918314204708,2.936803891923652
16894,16894,XY,0.05,0.425,22,abs_pot,3,3,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.05_0.425_22_pot_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.05_0.425_22_charge_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.05_0.425_22_pot_3.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.05_0.425_22_charge_3.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.05_0.425_22_pot_6.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.05_0.425_22_charge_6.txt,0.0982371594043659,0.2033894100955098,10.708849704981098,2.996779998175586
16913,16913,XY,0.425,0.33125,25,abs_pot,3,3,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.425_0.33125_25_pot_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.425_0.33125_25_charge_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.425_0.33125_25_pot_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.425_0.33125_25_charge_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.425_0.33125_25_pot_5.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.425_0.33125_25_charge_5.txt,-0.0525872974012474,0.1407977038075,10.86090449685249,1.9263089523145065
16914,16914,XY,0.8,0.33125,15,abs_pot,3,3,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.8_0.33125_15_pot_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.8_0.33125_15_charge_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.8_0.33125_15_pot_4.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.8_0.33125_15_charge_4.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.8_0.33125_15_pot_8.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.8_0.33125_15_charge_8.txt,-0.3030264182259182,0.1009299369537121,17.877262835717005,2.004254764640513
16939,16939,XY,0.14375,0.6125,20,abs_pot,3,3,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.14375_0.6125_20_pot_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.14375_0.6125_20_charge_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.14375_0.6125_20_pot_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.14375_0.6125_20_charge_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.14375_0.6125_20_pot_4.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.14375_0.6125_20_charge_4.txt,0.138687426159702,0.2268397270616756,10.463572557897908,3.3512966258342214
16940,16940,XY,0.51875,0.05,4,abs_pot,3,3,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.51875_0.05_4_pot_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.51875_0.05_4_charge_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.51875_0.05_4_pot_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.51875_0.05_4_charge_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.51875_0.05_4_pot_5.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.51875_0.05_4_charge_5.txt,-0.1182128497227997,0.0655399741307337,14.75727495482564,1.8058033916748149
16943,16943,XY,0.14375,0.425,18,abs_pot,3,3,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.14375_0.425_18_pot_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.14375_0.425_18_charge_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.14375_0.425_18_pot_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.14375_0.425_18_charge_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.14375_0.425_18_pot_4.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.14375_0.425_18_charge_4.txt,0.1301819243808038,0.2321623470099887,12.305687973525696,3.554386684381325
16960,16960,XY,0.6125,0.8,24,abs_pot,3,3,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.6125_0.8_24_pot_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.6125_0.8_24_charge_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.6125_0.8_24_pot_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.6125_0.8_24_charge_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.6125_0.8_24_pot_4.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.6125_0.8_24_charge_4.txt,-0.2468726108801109,0.1791966150109362,12.843521136520687,1.5056562378641465
16978,16978,XY,0.51875,0.33125,25,abs_pot,3,3,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.51875_0.33125_25_pot_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.51875_0.33125_25_charge_1.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.51875_0.33125_25_pot_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.51875_0.33125_25_charge_2.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.51875_0.33125_25_pot_4.txt,cond_data/abs_pot/3x3/ml_test/NEGFXY_0.51875_0.33125_25_charge_4.txt,-0.1328711135135135,0.1170086879156464,11.710772670689352,1.5943836456276406
